abuse_01,abuse_02,abuse_03,abuse_04,abuse_05,address,changed_01,changed_02,changed_03,cidr_01,cidr_02,city_01,city_02,comments_01,comments_02,comments_03,comments_04,comments_05,comments_06,comments_07,comments_08,comments_09,comments_10,country_01,country_02,created_at,descr_01,descr_02,descr_03,descr_04,descr_05,descr_06,descr_07,descr_08,descr_09,descr_10,email_01,email_02,email_03,email_04,email_05,email_06,email_07,email_08,email_09,email_10,fax_01,fax_02,fax_03,hostmax_01,hostmax_02,hostmax_03,hostmax_04,hostmax_05,hostmax_06,hostmax_07,hostmax_08,hostmax_09,hostmax_10,hostmin_01,hostmin_02,hostmin_03,hostmin_04,hostmin_05,hostmin_06,hostmin_07,hostmin_08,hostmin_09,hostmin_10,inetnum_01,inetnum_02,inetnum_03,inetnum_04,inetnum_05,inetnum_06,inetnum_07,inetnum_08,inetnum_09,inetnum_10,info,mnt_01,mnt_02,mnt_03,mnt_04,mnt_05,mnt_06,name,netcount_01,netcount_02,netcount_03,netcount_04,netcount_05,netcount_06,netcount_07,netcount_08,netcount_09,netcount_10,netmask_01,netmask_02,netmask_03,netmask_04,netmask_05,netmask_06,netmask_07,netmask_08,netmask_09,netmask_10,netname_01,netname_02,nichdl_01,nichdl_02,nichdl_03,nichdl_04,nichdl_05,notes,nserver_01,nserver_02,nserver_03,nslastaa_01,nslastaa_02,organization_01,organization_02,organization_03,organization_04,organization_05,orgname_01,orgname_02,orgname_03,orgname_04,orgname_05,originas_01,originas_02,originas_03,originas_04,originas_05,originas_06,originas_07,originas_08,originas_09,originas_10,other_01,other_02,other_03,other_04,other_05,other_06,other_07,other_08,other_09,other_10,parent_01,parent_02,parent_03,person_01,person_02,person_03,phone_01,phone_02,phone_03,postalcode_01,postalcode_02,ref_01,ref_02,ref_03,ref_04,ref_05,ref_06,ref_07,ref_08,ref_09,ref_10,regdate_01,regdate_02,remarks_01,remarks_02,remarks_03,remarks_04,remarks_05,remarks_06,remarks_07,remarks_08,remarks_09,remarks_10,route_01,route_02,rwhois_01,rwhois_02,rwhois_03,rwhois_04,rwhois_05,source,state_01,state_02,updated_01,updated_02,updated_03,updated_at,w_address_01,w_address_02,w_address_03,w_address_04,w_address_05,w_address_06,w_address_07,w_address_08,w_address_09,w_address_10
hostmaster@kisa.or.kr,NULL,NULL,NULL,NULL,101.55.125.0,hm-changed@apnic.net 20110210,hostmaster@kisa.or.kr 20101109,hostmaster@nic.or.kr 20130809,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KR,NULL,2015-07-07 20:22:06 UTC,KDTIDC,8F  Sindorim technomart Guro 5( o )-dong Guro-gu Seoul,Allocated to KRNIC Member.,If you would like to find assignment,information in detail please refer to,http://whois.kisa.or.kr/english/index.html ,Korea Data Telecommunication Co.  Ltd.,NULL,NULL,NULL,hm-changed@apnic.net,hostmaster@kisa.or.kr,ip@kdtidc.com,hostmaster@nic.or.kr,NULL,NULL,NULL,NULL,NULL,NULL,+82-2-2062-7681,NULL,NULL,101.55.127.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,101.55.0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,101.55.0.0/17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MNT-KRNIC-AP,IRT-KRNIC-KR,NULL,NULL,NULL,NULL,NULL,32766,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.128.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KDTIDC,KDTIDC-KR,IM393-AP,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IM393-AP,Allocated Portable,IRT-KRNIC-KR,HM127-AP,YZ1321-KR,ALLOCATED PORTABLE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IP MANAGER,NULL,NULL,+82-2-2062-7671,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,www.kdtidc.com,This information has been partially mirrored by APNIC from,KRNIC. To obtain more specific information  please use the,KRNIC whois server@whois.krnic.net.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KRNIC,NULL,NULL,NULL,NULL,NULL,NULL,6F  West Hall  118 Building( IT Venture Tower ) ,78  Garak-dong  Songpa-gu,Seoul  Korea  137-857,8F  Sindorim technomart Guro 5( o )-dong Guro-gu Seoul,NULL,NULL,NULL,NULL,NULL,NULL
abuse@tniad.mil.id,NULL,NULL,NULL,NULL,103.224.172.0,hm-changed@apnic.net 20140123,abuse@tniad.mil.id 20140113,hm-changed@apnic.net 20140113,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ID,NULL,2015-07-07 20:22:06 UTC,MABESAD,Jl. Veteran No 5,TNI-AD,Jakarta,NULL,NULL,NULL,NULL,NULL,NULL,hm-changed@apnic.net,abuse@tniad.mil.id,adi@arsen.co.id,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,103.224.175.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,103.224.172.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,103.224.172.0/22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,APNIC-HM,MAINT-ID-MABESAD,IRT-MABESAD-ID,NULL,NULL,NULL,NULL,1022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.252.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MABESAD1-AS-AP,NULL,MNA25-AP,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AS133329,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MNA25-AP,ASSIGNED PORTABLE,IRT-MABESAD-ID,MABESAD- network administrator,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,+6221 3456838,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,This object can only be updated by APNIC hostmasters.,To update this object  please contact APNIC,hostmasters and include your organisation s account,name in the subject line.,NULL,NULL,NULL,NULL,NULL,NULL,103.224.172.0/22,NULL,NULL,NULL,NULL,NULL,NULL,APNIC,NULL,NULL,NULL,NULL,NULL,NULL,Jl. Veteran No 5  Jakarta Pusat  DKI Jakarta,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
URETS-ARIN,Uretsky  Ben ,+1-646-397-8051 ,abuse@digitalocean.com,http://whois.arin.net/rest/poc/URETS-ARIN,104.131.0.0,NULL,NULL,NULL,104.131.0.0/16,NULL,New York,NULL,http://www.digitalocean.com,Simple Cloud Hosting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,US,NULL,2015-07-07 20:22:06 UTC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,noc@digitalocean.com,bryan@digitalocean.com,abuse@digitalocean.com,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,104.131.255.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,104.131.0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,104.131.0.0/16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65534,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DIGITALOCEAN-9,NULL,NET-104-131-0-0-1,NOC32014-ARIN,SOCHA-ARIN,URETS-ARIN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Digital Ocean  Inc. ( DO-13 ),NULL,NULL,NULL,NULL,Digital Ocean  Inc.,Socha  Bryan ,Uretsky  Ben ,NULL,NULL,AS393406  AS14061  AS62567  AS46652,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Direct Allocation,2014-06-02,DO-13,2014-10-23,NULL,NULL,NULL,NULL,NULL,NULL,NET104 ( NET-104-0-0-0-0 ),NULL,NULL,NULL,NULL,NULL,+1-347-875-6044 ,+1-646-397-8051 ,NULL,10013,NULL,http://whois.arin.net/rest/net/NET-104-131-0-0-1,http://whois.arin.net/rest/org/DO-13,http://whois.arin.net/rest/poc/NOC32014-ARIN,http://whois.arin.net/rest/poc/SOCHA-ARIN,http://whois.arin.net/rest/poc/URETS-ARIN,NULL,NULL,NULL,NULL,NULL,2014-06-02,2012-05-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARIN,NY,NULL,NULL,NULL,NULL,NULL,101 Ave of the Americas,10th Floor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,105.9.0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ZA,NULL,2015-07-07 20:22:06 UTC,Cell C ( Pty ) Ltd,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,105.15.255.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,105.0.0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,105.0.0.0/12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AFRINIC-HM-MNT,CELLC-MNT,NULL,NULL,NULL,NULL,NULL,1048574,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.240.0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CELLC,NULL,DG5-afrinic,NR7-AFRINIC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cell C ( Pty ) Ltd,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ORG-CC2-AFRINIC,NR7-AFRINIC,DG5-AFRINIC,ALLOCATED PA,LIR,DG5-afrinic,FD7-AFRINIC,NULL,NULL,NULL,105.0.0.0 - 105.255.255.255,NULL,NULL,Dheven Govender,Nishal Radhalal,NULL,+27 11 324 4055,+27841744346,+27841744055,NULL,NULL,AFRINIC-HM-MNT,CELLC-MNT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AfriNIC,NULL,NULL,NULL,NULL,NULL,NULL,Cell C ( Pty ) Ltd,Esher Place  7 Federal Rd,Sandhurst,Cell C  150 Rivonia Road  Morningside,sandton,South Africa,ZA,NULL,NULL,NULL
URETS-ARIN,Uretsky  Ben ,+1-646-397-8051 ,abuse@digitalocean.com,http://whois.arin.net/rest/poc/URETS-ARIN,107.170.0.0,NULL,NULL,NULL,107.170.0.0/16,NULL,New York,NULL,http://www.digitalocean.com,Simple Cloud Hosting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,US,NULL,2015-07-07 20:22:06 UTC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,abuse@digitalocean.com,noc@digitalocean.com,bryan@digitalocean.com,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,107.170.255.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,107.170.0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,107.170.0.0/16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65534,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DIGITALOCEAN-8,NULL,NET-107-170-0-0-1,NOC32014-ARIN,URETS-ARIN,SOCHA-ARIN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Digital Ocean  Inc. ( DO-13 ),NULL,NULL,NULL,NULL,Digital Ocean  Inc.,Uretsky  Ben ,Socha  Bryan ,NULL,NULL,AS14061  AS62567  AS46652,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Direct Allocation,2013-12-30,DO-13,2014-10-23,NULL,NULL,NULL,NULL,NULL,NULL,NET107 ( NET-107-0-0-0-0 ),NULL,NULL,NULL,NULL,NULL,+1-347-875-6044 ,+1-646-397-8051 ,NULL,10013,NULL,http://whois.arin.net/rest/net/NET-107-170-0-0-1,http://whois.arin.net/rest/org/DO-13,http://whois.arin.net/rest/poc/NOC32014-ARIN,http://whois.arin.net/rest/poc/URETS-ARIN,http://whois.arin.net/rest/poc/SOCHA-ARIN,NULL,NULL,NULL,NULL,NULL,2013-12-30,2012-05-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARIN,NY,NULL,NULL,NULL,NULL,NULL,101 Ave of the Americas,10th Floor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ABUSE1601-ARIN,+1-480-212-1710 ,abuse@nobistech.net,http://whois.arin.net/rest/poc/ABUSE1601-ARIN,Chu Yanheng,108.177.128.0,NULL,NULL,NULL,108.177.128.0/17,NULL,Phoenix,hangzhou,Nobis Technology Group  LLC,http://www.nobistech.net,For all inquiries relating,to network abuse  network,security  DMCA  trademark ,legal compliance  and law ,enforcement requests  contact,abuse@nobistech.net via e-mail,Nobis Technology Group,ATTN IP Network Operations,US,CN,2015-07-07 20:22:06 UTC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,abuse@nobistech.net,admin@nobistech.net,arin@nobistech.net,service@paidc.com,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,108.177.255.254,108.177.131.254,108.177.128.126,NULL,NULL,NULL,NULL,NULL,NULL,NULL,108.177.128.1,108.177.128.1,108.177.128.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,108.177.128.0/17,108.177.128.0/22,108.177.128.0/25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32766,1022,126,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.128.0,255.255.252.0,255.255.255.128,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NETBLK-NOBIS-TECHNOLOGY-GROUP-11,NULL,NET-108-177-128-0-1,NOC2466-ARIN,AIA12-ARIN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nobis Technology Group  LLC ( NTGL ),NULL,NULL,NULL,NULL,Nobis Technology Group  LLC,NOC,ARIN IP Admin,PAIDC,NULL,AS15003,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Direct Allocation,2012-03-15,NTGL,2014-11-03,108.177.128.0/22,NET-35462.108.177.128.0/25,Secondary Assignment per XOZ-800-15818,108.177.128.0/25,108.177.128.0 - 108.177.128.127,MAINT-35462.108.177.128.0/25,NET108 ( NET-108-0-0-0-0 ),NULL,NULL,NULL,NULL,NULL,+1-480-212-1710 ,+8615058199007,NULL,85054,310000,http://whois.arin.net/rest/net/NET-108-177-128-0-1,http://whois.arin.net/rest/org/NTGL,http://whois.arin.net/rest/poc/NOC2466-ARIN,http://whois.arin.net/rest/poc/AIA12-ARIN,NULL,NULL,NULL,NULL,NULL,NULL,2012-03-15,2007-01-30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4321,4321.,rwhois.nobistech.net ( Ubersmith RWhois Server V-2.3.0 ),NULL,NULL,ARIN,AZ,NULL,NULL,NULL,NULL,NULL,5350 East High Street,Suite 300,yuhang 2-3-302,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ABUSE1601-ARIN,+1-480-212-1710 ,abuse@nobistech.net,http://whois.arin.net/rest/poc/ABUSE1601-ARIN,NULL,108.62.0.0,NULL,NULL,NULL,108.62.0.0/16,NULL,Phoenix,NULL,Nobis Technology Group  LLC,http://www.nobistech.net,For inquiries and complaints,about any Nobis IP address,space please contact our NOC,via e-mail@admin@nobistech.net,For all inquiries relating,to network abuse  network,security  DMCA  trademark ,legal compliance  and law ,US,NULL,2015-07-07 20:22:06 UTC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,admin@nobistech.net,abuse@nobistech.net,arin@nobistech.net,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,108.62.255.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,108.62.0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,108.62.0.0/16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65534,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NETBLK-NOBIS-TECHNOLOGY-GROUP-09,NULL,NET-108-62-0-0-1,AIA12-ARIN,NOC2466-ARIN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nobis Technology Group  LLC ( NTGL ),NULL,NULL,NULL,NULL,Nobis Technology Group  LLC,ARIN IP Admin,NOC,NULL,NULL,AS15003,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Direct Allocation,2012-03-02,NTGL,2014-11-03,NOC,ARIN IP Admin,NULL,NULL,NULL,NULL,NET108 ( NET-108-0-0-0-0 ),NULL,NULL,NULL,NULL,NULL,+1-480-212-1710 ,NULL,NULL,85054,NULL,http://whois.arin.net/rest/net/NET-108-62-0-0-1,http://whois.arin.net/rest/org/NTGL,http://whois.arin.net/rest/poc/AIA12-ARIN,http://whois.arin.net/rest/poc/NOC2466-ARIN,NULL,NULL,NULL,NULL,NULL,NULL,2010-12-13,2007-01-30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4321,4321.,rwhois.nobistech.net ( Ubersmith RWhois Server V-2.3.0 ),NULL,NULL,ARIN,AZ,NULL,NULL,NULL,NULL,NULL,5350 East High Street,Suite 300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ABUSE1601-ARIN,+1-480-212-1710 ,abuse@nobistech.net,http://whois.arin.net/rest/poc/ABUSE1601-ARIN,AIA12-ARIN,108.62.64.0,NULL,NULL,NULL,108.62.0.0/16,108.62.64.0/21,Phoenix,Chicago,Nobis Technology Group  LLC,http://www.nobistech.net,For inquiries and complaints,about any Nobis IP address,space please contact our NOC,via e-mail@admin@nobistech.net,For all inquiries relating,to network abuse  network,security  DMCA  trademark ,legal compliance  and law ,US,NULL,2015-07-07 20:22:06 UTC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,admin@nobistech.net,abuse@nobistech.net,arin@nobistech.net,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,108.62.255.254,108.62.71.254,108.62.64.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,108.62.0.1,108.62.64.1,108.62.64.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,108.62.0.0/16,108.62.64.0/21,108.62.64.0/24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65534,2046,254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.0.0,255.255.248.0,255.255.255.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NETBLK-NOBIS-TECHNOLOGY-GROUP-09,NETBLK-UBIQUITY-CHICAGO-108-62-64-0,NET-108-62-0-0-1,AIA12-ARIN,NOC2466-ARIN,NET-108-62-64-0-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nobis Technology Group  LLC ( NTGL ),Ubiquity Server Solutions Chicago ( NTGL-1 ),NULL,NULL,NULL,Nobis Technology Group  LLC,ARIN IP Admin,NOC,Ubiquity Server Solutions Chicago,McNally  Eddie,AS15003,AS15003,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Direct Allocation,2012-03-02,NTGL,2014-11-03,NOC,ARIN IP Admin,2011-02-21,NTGL-1,2011-01-10,108.62.64.0/21,NET108 ( NET-108-0-0-0-0 ),NETBLK-NOBIS-TECHNOLOGY-GROUP-09 ( NET-108-62-0-0-1 ),NULL,NULL,NULL,NULL,+1-480-212-1710 ,admin@nobistech.net,abuse@nobistech.net,85054,60616,http://whois.arin.net/rest/net/NET-108-62-0-0-1,http://whois.arin.net/rest/org/NTGL,http://whois.arin.net/rest/poc/AIA12-ARIN,http://whois.arin.net/rest/poc/NOC2466-ARIN,http://whois.arin.net/rest/net/NET-108-62-64-0-1,http://whois.arin.net/rest/org/NTGL-1,NULL,NULL,NULL,NULL,2010-12-13,2007-01-30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4321,4321.,rwhois.nobistech.net ( Ubersmith RWhois Server V-2.3.0 ),NULL,NULL,ARIN,AZ,IL,NULL,NULL,NULL,NULL,5350 East High Street,Suite 300,350 East Cermak Road,301 Harrison Ave.,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,109.234.32.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RU,NULL,2015-07-07 20:22:06 UTC,McHost.RU Shared Hosting,MCHOST-NET,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,info@mchost.ru,abuse@mchost.ru,support@mchost.ru,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,109.234.32.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,109.234.32.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,109.234.32.0/24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MCHOST,WZNET-MNT,NULL,NULL,NULL,NULL,NULL,254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MCHOST-NET,NULL,MI1667-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AS35415,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MI1667-RIPE,ASSIGNED PA,McHost.Ru Inc,AVS15-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INFRA-AW,McHost.Ru contacts, abuse@mchost.ru,                 support@mchost.ru,              info@mchost.ru,NULL,NULL,NULL,NULL,NULL,109.234.32.0/24,NULL,NULL,NULL,NULL,NULL,NULL,RIPE,NULL,NULL,NULL,NULL,NULL,NULL,2nd Kabelnaya av.  2,117607,Moscow  Russia,NULL,NULL,NULL,NULL,NULL,NULL,NULL
abuse@cat.net.th,NULL,NULL,NULL,NULL,110.78.169.0,suchok@cat.net.th 20121107,abuse@cat.net.th 20101117,suchok@bulbul.cat.net.th 20070719,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TH,NULL,2015-07-07 20:22:06 UTC,10 Fl. 72. CAT TELECOM TOWER Bangrak Bangkok Thailand,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pankaew@cat.net.th,suchok@cat.net.th,abuse@cat.net.th,utheera@thaipak.cat.net.th,suchok@bulbul.cat.net.th,NULL,NULL,NULL,NULL,NULL,+66-261-42682,NULL,NULL,110.78.191.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,110.78.128.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,110.78.128.0/18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MAINT-TH-THIX-CAT,IRT-CAT-TH,MAINT-NEW,NULL,NULL,NULL,NULL,16382,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.192.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CAT-BB-NET,NULL,TU16-AP,WP273-AP,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TU16-AP,WP273-AP,ALLOCATED NON-PORTABLE,IRT-CAT-TH,TK38-AP,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Theerachai Udomkitpanya,Weerapong Pankaew,NULL,+66-261-42918,+66-261-42138,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Personal contact #PS474-AP WP273-AP AS1145-AP#,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,APNIC,NULL,NULL,NULL,NULL,NULL,NULL,Data Comm. Dept.( Internet ),CAT Bangkok 10501,Thailand,10 Fl. 72. CAT TELECOM TOWER Bangrak Bangkok,CAT-BB-NET,10 Fl. 72. CAT TELECOM TOWER Bangrak Bangkok Thailand,NULL,NULL,NULL,NULL
